CountryOfOrigin,AdjustedStatusQuarter1,AdjustedStatusQuarter2,AdjustedStatusQuarter3,AdjustedStatusQuarter4,NewArrivalsQuarter1,NewArrivalsQuarter2,NewArrivalsQuarter3,NewArrivalsQuarter4
Afghanistan,585,334,294,225,1987,1892,2111,3062
Albania,169,190,254,213,1179,883,1006,1483
Algeria,61,85,114,107,503,359,329,672
Angola,36,29,36,48,8,10,7,13
Antigua and Barbuda,24,46,53,57,48,37,49,71
Argentina,681,779,823,784,150,160,168,140
Armenia,186,210,242,250,695,456,502,567
Australia,653,849,887,658,294,250,246,266
Austria,100,96,91,82,24,24,16,33
Azerbaijan,51,60,89,73,108,105,171,330
Bahamas,128,155,186,177,27,43,45,38
Bahrain,7,D,D,8,9,D,D,8
Bangladesh,551,419,528,365,4064,3112,3280,2704
Barbados,37,40,71,50,44,36,33,35
Belarus,217,217,307,244,316,278,306,421
Belgium,128,186,146,108,38,33,33,52
Belize,111,164,143,130,81,69,59,102
Benin,50,52,50,58,141,78,86,125
Bhutan,705,502,623,657,12,10,8,3
Bolivia,201,265,228,204,175,138,138,99
Bosnia and Herzegovina,61,88,96,88,61,59,41,58
Botswana,D,D,6,D,D,D,3,D
Brazil,3383,4074,4516,3672,906,851,939,1028
Bulgaria,205,213,251,219,234,174,153,251
Burkina Faso,92,98,94,117,111,54,63,81
Burma,1382,1320,1338,1061,335,300,317,362
Burundi,162,140,114,126,68,43,28,69
Cabo Verde,105,103,111,124,375,311,335,321
Cambodia,165,201,182,178,523,382,497,488
Cameroon,400,418,388,312,804,535,617,807
Canada,3451,3366,4037,2763,999,1248,1113,850
Central African Republic,91,D,108,D,7,D,7,D
Chad,15,24,15,13,9,13,6,28
Chile,338,387,409,318,70,79,91,66
"China, People's Republic",8861,9451,8345,8683,6757,6055,6200,7992
Colombia,2775,3456,3611,3578,1685,1554,1429,1179
"Congo, Democratic Republic",2759,2760,2866,2116,1202,474,649,969
"Congo, Republic",105,95,70,52,52,42,27,74
Costa Rica,395,408,477,433,181,179,155,132
Cote d'Ivoire,102,139,132,142,263,164,169,251
Croatia,55,67,81,53,25,17,10,26
Cuba,10525,11527,6944,3787,2047,1262,1802,1491
Cyprus,15,30,28,11,6,4,3,7
Czechia,129,150,157,125,29,26,23,24
Denmark,78,97,103,61,34,15,21,18
Djibouti,27,8,18,13,14,10,13,18
Dominica,40,44,60,47,95,66,91,78
Dominican Republic,1995,2675,2849,2745,10673,9813,9619,9035
Ecuador,1194,1231,1259,1204,1494,1721,1529,1180
Egypt,884,739,771,700,1458,1340,1590,2062
El Salvador,3330,3975,4345,4913,2852,3175,2714,2159
Equatorial Guinea,5,D,8,D,-,D,-,D
Eritrea,540,594,670,630,212,219,214,254
Estonia,35,34,33,27,9,14,11,16
Eswatini (formerly Swaziland),D,D,11,D,D,D,-,D
Ethiopia,739,613,595,550,1546,1309,1195,1381
Fiji,30,34,41,33,159,124,121,169
Finland,125,109,114,70,38,16,26,16
France,1117,1033,1327,887,244,214,222,248
Gabon,25,D,12,D,7,D,8,D
Gambia,142,137,134,109,246,269,224,110
Georgia,96,113,186,140,234,201,252,320
Germany,862,930,1099,783,333,280,314,355
Ghana,505,551,621,554,1684,1409,1723,1392
Greece,229,249,272,230,93,81,71,73
Grenada,88,86,82,66,60,38,62,72
Guatemala,1737,1818,1781,2296,1884,1307,1276,1222
Guinea,89,112,113,93,328,295,291,266
Guinea-Bissau,8,D,D,8,7,D,D,8
Guyana,380,437,424,371,844,929,954,893
Haiti,2080,2566,2624,2779,3371,1833,1006,895
Honduras,2097,2206,2316,2705,2399,1777,1172,1079
Hungary,215,228,216,212,77,52,48,55
Iceland,10,D,D,D,9,D,D,D
India,8238,9346,7222,5013,5478,5115,7261,6114
Indonesia,279,333,354,273,169,128,130,133
Iran,1643,1399,1294,825,77,55,72,424
Iraq,1667,1334,986,754,475,350,404,460
Ireland,359,468,527,332,83,99,72,69
Israel,937,956,1180,875,192,153,181,233
Italy,839,888,1019,725,207,200,232,287
Jamaica,2102,2847,2804,3032,2790,2684,2480,2726
Japan,782,733,867,623,401,314,335,412
Jordan,574,541,635,526,774,832,839,911
Kazakhstan,124,155,199,182,146,88,138,221
Kenya,395,467,545,432,977,575,657,914
"Korea, South",3856,3219,3858,2330,927,1204,1268,1640
Kosovo,59,72,78,64,204,133,162,167
Kuwait,29,26,19,23,8,3,7,-
Kyrgyzstan,87,90,88,76,107,77,118,169
Laos,119,141,119,128,78,76,88,74
Latvia,37,44,57,31,17,19,31,29
Lebanon,248,236,293,230,407,280,362,381
Liberia,266,327,321,259,876,499,498,510
Libya,63,71,72,69,22,-,35,94
Lithuania,80,119,160,120,63,56,64,71
Luxembourg,6,D,D,D,-,D,D,D
Madagascar,6,10,15,8,3,6,12,8
Malawi,26,32,30,17,10,5,8,4
Malaysia,258,275,320,176,103,57,98,77
Mali,54,68,75,51,89,108,98,61
Malta,D,D,4,D,-,D,-,D
Marshall Islands,D,D,D,D,D,D,D,D
Mauritania,39,35,26,25,27,29,27,32
Mauritius,13,17,16,18,7,4,4,4
Mexico,22813,27200,27314,22465,11411,16521,15055,12931
"Micronesia, Federated States",D,8,D,5,D,-,-,-
Moldova,177,245,303,306,184,162,203,259
Mongolia,101,117,110,115,84,70,54,106
Montenegro,32,46,65,59,48,43,39,38
Morocco,211,241,252,214,758,530,509,873
Mozambique,D,6,D,3,D,3,D,3
Namibia,25,D,13,D,8,D,-,D
Nepal,1042,855,970,653,1112,1053,1616,1509
Netherlands,280,366,374,261,90,107,83,105
New Zealand,171,199,201,122,74,91,95,84
Nicaragua,301,396,461,493,333,497,563,731
Niger,53,45,47,40,25,18,16,21
Nigeria,1879,2207,2513,2427,1966,1466,1595,1640
North Macedonia (formerly Macedonia),79,105,127,125,163,131,159,178
Norway,66,70,84,72,23,14,19,16
Oman,D,D,D,D,-,-,D,D
Pakistan,1259,1128,1323,938,2383,2062,2428,2061
Palau,D,D,D,3,-,-,-,-
Panama,183,178,172,164,86,94,88,77
Papua New Guinea,18,D,D,D,-,D,D,D
Paraguay,70,75,88,83,24,34,22,25
Peru,1121,1298,1388,1301,1194,1277,1278,988
Philippines,4058,4529,4857,4092,7119,6531,7623,6786
Poland,691,826,975,750,357,322,278,358
Portugal,239,290,297,247,50,45,53,72
Qatar,D,D,6,D,-,-,-,D
Romania,392,400,454,397,188,174,205,226
Russia,1404,1526,1861,1588,1091,877,1040,1460
Rwanda,102,110,81,91,156,67,80,192
Saint Kitts and Nevis,14,21,24,28,49,31,57,22
Saint Lucia,83,124,108,107,89,88,71,62
Saint Vincent and the Grenadines,27,59,58,46,55,37,36,43
Samoa,32,41,37,37,10,5,7,7
Saudi Arabia,126,141,130,125,20,13,33,34
Senegal,138,132,145,126,311,278,272,236
Serbia,209,258,337,297,143,85,130,133
Serbia and Montenegro (former),10,D,D,D,-,D,D,D
Sierra Leone,86,113,108,91,294,245,270,211
Singapore,160,161,191,121,41,36,50,39
Slovakia,66,90,84,91,21,23,34,13
Slovenia,16,31,D,D,5,3,D,D
Somalia,1820,1391,1219,1159,37,84,66,148
South Africa,425,499,534,377,230,141,222,231
South Sudan,43,41,61,30,32,22,35,40
Soviet Union (former),20,27,D,D,-,-,D,D
Spain,849,1044,1012,789,173,159,117,182
Sri Lanka,225,181,223,149,235,159,172,213
Sudan,338,351,317,270,779,388,339,666
Suriname,21,29,22,20,11,16,18,5
Sweden,245,222,292,202,82,49,43,71
Switzerland,77,111,119,97,43,36,26,33
Syria,2278,1638,1126,780,92,55,59,261
Taiwan,1089,938,970,641,459,584,484,671
Tajikistan,36,31,38,44,180,170,241,329
Tanzania,97,96,102,98,64,52,52,63
Thailand,625,818,889,781,383,321,358,326
Togo,64,69,79,65,385,249,278,358
Tonga,35,41,59,39,16,17,21,16
Trinidad and Tobago,380,504,505,391,389,295,314,298
Tunisia,64,68,84,61,65,39,37,56
Turkey,815,760,942,760,594,519,512,686
Turkmenistan,20,18,30,29,47,45,45,58
Uganda,156,150,137,165,163,123,114,136
Ukraine,1812,1642,2096,1776,1038,855,1132,1367
United Arab Emirates,14,D,17,D,-,D,5,D
United Kingdom,2142,2612,2693,1934,959,787,808,923
United States,D,75,D,58,D,4,D,-
Uruguay,216,231,239,231,29,37,32,23
Uzbekistan,175,207,186,168,374,349,459,366
Venezuela,2623,3298,3581,3180,798,579,575,557
Vietnam,2077,2417,2449,2033,7645,6287,7030,9271
Yemen,109,78,86,89,413,627,582,1821
Zambia,46,56,74,64,37,23,20,8
Zimbabwe,83,112,107,108,51,65,32,73
All other countries1,11,23,10,12,3,11,1,11
Unknown,793,1070,1280,953,856,1142,1412,1377
